# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_63 FILTER_LEN10_63	6.1e-170	   4.1e-173	        -396.94	       -46.0	       79	        171	         661	        691	  0.46199	2.8e-177	     14703
   1	FILTER_LEN10_64 FILTER_LEN10_64	2.2e-111	   1.5e-114	        -262.11	       -46.0	       79	        171	         446	        468	  0.46199	1.0e-118	     14703
   1	FILTER_LEN10_65 FILTER_LEN10_65	7.7e-150	   5.1e-153	        -350.66	       -46.5	       78	        171	         558	        580	  0.45614	3.5e-157	     14703
   1	FILTER_LEN10_66 FILTER_LEN10_66	2.3e-119	   1.5e-122	        -280.50	       -46.0	       79	        171	         445	        459	  0.46199	1.0e-126	     14703
   1	FILTER_LEN10_67 FILTER_LEN10_67	3.0e-176	   2.0e-179	        -411.47	       -43.5	       84	        171	         719	        744	  0.49123	1.4e-183	     14703
   1	FILTER_LEN10_68 FILTER_LEN10_68	1.5e-067	   1.0e-070	        -161.16	       -47.0	       77	        171	         303	        328	  0.45029	6.9e-075	     14703
   1	FILTER_LEN10_69 FILTER_LEN10_69	3.8e-064	   2.5e-067	        -153.35	       -43.5	       84	        171	         274	        283	  0.49123	1.7e-071	     14703
   1	FILTER_LEN10_70 FILTER_LEN10_70	3.4e-092	   2.3e-095	        -217.93	       -42.5	       86	        171	         370	        376	  0.50292	1.5e-099	     14703
   1	FILTER_LEN10_71 FILTER_LEN10_71	1.0e-039	   7.0e-043	         -97.07	       -51.0	       67	        171	         158	        173	  0.39181	4.8e-047	     14703
   1	FILTER_LEN10_72 FILTER_LEN10_72	1.4e-089	   9.4e-093	        -211.90	       -44.5	       82	        171	         375	        391	  0.47953	6.4e-097	     14703
   1	FILTER_LEN10_73 FILTER_LEN10_73	1.5e-162	   9.9e-166	        -379.94	       -45.5	       80	        171	         616	        637	  0.46784	6.7e-170	     14703
   1	FILTER_LEN10_74 FILTER_LEN10_74	1.5e-060	   1.0e-063	        -145.05	       -39.5	       92	        171	         270	        273	  0.53801	6.9e-068	     14703
   1	FILTER_LEN10_75 FILTER_LEN10_75	5.9e-086	   3.9e-089	        -203.56	       -43.5	       84	        171	         356	        367	  0.49123	2.7e-093	     14703
   1	FILTER_LEN10_76 FILTER_LEN10_76	1.0e-119	   6.7e-123	        -281.31	       -46.0	       79	        171	         489	        516	  0.46199	4.6e-127	     14703
   1	FILTER_LEN10_77 FILTER_LEN10_77	4.0e-070	   2.7e-073	        -167.10	       -49.5	       72	        171	         276	        297	  0.42105	1.8e-077	     14703
   1	FILTER_LEN10_78 FILTER_LEN10_78	8.1e-066	   5.4e-069	        -157.20	       -38.0	       95	        171	         312	        316	  0.55556	3.7e-073	     14703
   1	FILTER_LEN10_79 FILTER_LEN10_79	1.4e-098	   9.6e-102	        -232.60	       -49.5	       72	        171	         385	        416	  0.42105	6.6e-106	     14703
   1	FILTER_LEN10_80 FILTER_LEN10_80	7.5e-118	   5.0e-121	        -277.00	       -46.0	       79	        171	         483	        510	  0.46199	3.4e-125	     14703
   1	FILTER_LEN10_81 FILTER_LEN10_81	2.2e-130	   1.5e-133	        -305.87	       -43.5	       84	        171	         531	        548	  0.49123	9.9e-138	     14703
   1	FILTER_LEN10_82 FILTER_LEN10_82	2.6e-081	   1.7e-084	        -192.88	       -50.5	       70	        171	         346	        387	  0.40936	1.2e-088	     14703
   1	FILTER_LEN10_83 FILTER_LEN10_83	1.3e-141	   8.7e-145	        -331.71	       -47.5	       74	        171	         552	        592	  0.43275	5.9e-149	     14703
   1	FILTER_LEN10_84 FILTER_LEN10_84	1.3e-150	   8.4e-154	        -352.47	       -44.0	       83	        171	         632	        660	  0.48538	5.7e-158	     14703
   1	FILTER_LEN10_85 FILTER_LEN10_85	2.9e-100	   1.9e-103	        -236.52	       -42.0	       87	        171	         430	        442	  0.50877	1.3e-107	     14703
   1	FILTER_LEN10_86 FILTER_LEN10_86	6.7e-118	   4.5e-121	        -277.11	       -45.5	       80	        171	         478	        501	  0.46784	3.0e-125	     14703
   1	FILTER_LEN10_87 FILTER_LEN10_87	1.5e-134	   9.8e-138	        -315.48	       -47.5	       76	        171	         489	        510	  0.44444	6.7e-142	     14703
   1	FILTER_LEN10_88 FILTER_LEN10_88	9.7e-073	   6.5e-076	        -173.13	       -41.5	       88	        171	         352	        367	  0.51462	4.4e-080	     14703
   1	FILTER_LEN10_89 FILTER_LEN10_89	2.2e-204	   1.5e-207	        -476.24	       -48.5	       74	        171	         740	        780	  0.43275	1.0e-211	     14703
   1	FILTER_LEN10_90 FILTER_LEN10_90	2.8e-180	   1.9e-183	        -420.73	       -51.0	       69	        171	         637	        685	  0.40351	1.3e-187	     14703
   1	FILTER_LEN10_91 FILTER_LEN10_91	7.1e-062	   4.7e-065	        -148.12	       -35.5	      100	        171	         303	        304	  0.58480	3.2e-069	     14703
   1	FILTER_LEN10_92 FILTER_LEN10_92	8.9e-111	   5.9e-114	        -260.71	       -42.5	       86	        171	         468	        482	  0.50292	4.0e-118	     14703
   1	FILTER_LEN10_93 FILTER_LEN10_93	1.0e-018	   6.6e-022	         -48.76	       -40.0	       87	        171	         109	        114	  0.50877	4.5e-026	     14703
   1	FILTER_LEN10_94 FILTER_LEN10_94	1.3e-133	   8.7e-137	        -313.30	       -43.5	       84	        171	         546	        564	  0.49123	5.9e-141	     14703
   1	FILTER_LEN10_95 FILTER_LEN10_95	1.1e-079	   7.4e-083	        -189.11	       -43.0	       85	        171	         366	        383	  0.49708	5.1e-087	     14703
   1	FILTER_LEN10_96 FILTER_LEN10_96	1.2e-080	   8.1e-084	        -191.33	       -47.0	       75	        171	         304	        319	  0.43860	5.5e-088	     14703
   1	FILTER_LEN10_97 FILTER_LEN10_97	7.6e-068	   5.0e-071	        -161.87	       -41.0	       89	        171	         345	        362	  0.52047	3.4e-075	     14703
   1	FILTER_LEN10_98 FILTER_LEN10_98	3.5e-122	   2.4e-125	        -286.97	       -46.0	       79	        171	         487	        511	  0.46199	1.6e-129	     14703
   1	FILTER_LEN10_99 FILTER_LEN10_99	1.1e-121	   7.0e-125	        -285.87	       -44.0	       83	        171	         497	        515	  0.48538	4.8e-129	     14703
   1	FILTER_LEN10_100 FILTER_LEN10_100	1.6e-099	   1.1e-102	        -234.79	       -44.0	       83	        171	         447	        472	  0.48538	7.3e-107	     14703
