# WARNING: this file is not sorted!
# db	id                         alt	 E-value	adj_p-value	log_adj_p-value	bin_location	bin_width	total_width	sites_in_bin	total_sites	p_success	 p-value	mult_tests
   1	FILTER_LEN10_82 FILTER_LEN10_82	6.1e-021	   4.1e-024	         -53.86	         0.0	        6	       3992	         196	      53844	  0.00150	2.0e-027	      1995
   1	FILTER_LEN10_83 FILTER_LEN10_83	1.7e-034	   1.1e-037	         -85.09	         0.0	      114	       3992	        2082	      53870	  0.02856	5.6e-041	      1995
   1	FILTER_LEN10_85 FILTER_LEN10_85	2.1e-024	   1.4e-027	         -61.82	         0.0	      426	       3992	        6588	      53857	  0.10671	7.1e-031	      1995
   1	FILTER_LEN10_86 FILTER_LEN10_86	2.7e-010	   1.8e-013	         -29.36	         0.0	       10	       3992	         242	      53872	  0.00251	8.9e-017	      1995
   1	FILTER_LEN10_87 FILTER_LEN10_87	2.0e-017	   1.3e-020	         -45.77	         0.0	       36	       3992	         722	      53855	  0.00902	6.6e-024	      1995
   1	FILTER_LEN10_88 FILTER_LEN10_88	2.9e-007	   2.0e-010	         -22.35	         0.0	       12	       3992	         264	      53863	  0.00301	9.8e-014	      1995
   1	FILTER_LEN10_91 FILTER_LEN10_91	5.6e-027	   3.7e-030	         -67.77	         0.0	       60	       3992	        1157	      53110	  0.01503	1.9e-033	      1995
   1	FILTER_LEN10_93 FILTER_LEN10_93	1.7e-006	   1.1e-009	         -20.61	         0.0	      136	       3992	        2036	      50968	  0.03407	5.6e-013	      1995
   1	FILTER_LEN10_94 FILTER_LEN10_94	5.6e-018	   3.8e-021	         -47.03	         0.0	       88	       3992	        1549	      53872	  0.02204	1.9e-024	      1995
   1	FILTER_LEN10_95 FILTER_LEN10_95	8.3e-062	   5.5e-065	        -147.96	         0.0	      356	       3992	        5995	      53850	  0.08918	2.8e-068	      1995
   1	FILTER_LEN10_102 FILTER_LEN10_102	3.0e-062	   2.0e-065	        -148.99	         0.0	      148	       3992	        2809	      53858	  0.03707	9.9e-069	      1995
   1	FILTER_LEN10_103 FILTER_LEN10_103	2.5e-197	   1.7e-200	        -460.00	         0.0	      262	       3992	        5407	      53798	  0.06563	8.4e-204	      1995
   1	FILTER_LEN10_108 FILTER_LEN10_108	1.4e-033	   9.1e-037	         -82.98	         0.0	        8	       3992	         272	      53781	  0.00200	4.6e-040	      1995
   1	FILTER_LEN10_109 FILTER_LEN10_109	6.2e-169	   4.1e-172	        -394.63	         0.0	      206	       3992	        4321	      53549	  0.05160	2.1e-175	      1995
   1	FILTER_LEN10_110 FILTER_LEN10_110	1.6e-044	   1.0e-047	        -108.18	         0.0	       42	       3992	         956	      53790	  0.01052	5.2e-051	      1995
   1	FILTER_LEN10_111 FILTER_LEN10_111	2.1e-328	   1.4e-331	        -761.82	         0.0	      122	       3992	        3407	      53350	  0.03056	7.0e-335	      1995
   1	FILTER_LEN10_112 FILTER_LEN10_112	4.2e-110	   2.8e-113	        -259.17	         0.0	      174	       3992	        3507	      53796	  0.04359	1.4e-116	      1995
   1	FILTER_LEN10_113 FILTER_LEN10_113	8.4e-080	   5.6e-083	        -189.39	         0.0	      152	       3992	        2912	      52370	  0.03808	2.8e-086	      1995
   1	FILTER_LEN10_114 FILTER_LEN10_114	1.0e-062	   6.8e-066	        -150.06	         0.0	      172	       3992	        3188	      53754	  0.04309	3.4e-069	      1995
   1	FILTER_LEN10_115 FILTER_LEN10_115	1.6e-396	   1.1e-399	        -918.64	         0.0	      114	       3992	        3463	      53851	  0.02856	5.5e-403	      1995
   1	FILTER_LEN10_116 FILTER_LEN10_116	1.0e-098	   6.9e-102	        -232.94	         0.0	       42	       3992	        1146	      53350	  0.01052	3.4e-105	      1995
   1	FILTER_LEN10_119 FILTER_LEN10_119	1.6e-051	   1.1e-054	        -124.28	         0.0	      468	       3992	        7543	      53873	  0.11723	5.3e-058	      1995
   1	FILTER_LEN10_120 FILTER_LEN10_120	2.0e-050	   1.3e-053	        -121.77	         0.0	      352	       3992	        5808	      53670	  0.08818	6.5e-057	      1995
   1	FILTER_LEN10_122 FILTER_LEN10_122	1.2e-007	   7.9e-011	         -23.26	         0.0	        8	       3992	         195	      53829	  0.00200	4.0e-014	      1995
   1	FILTER_LEN10_124 FILTER_LEN10_124	5.6e-010	   3.7e-013	         -28.62	         0.0	      276	       3992	        4214	      53873	  0.06914	1.9e-016	      1995
   1	FILTER_LEN10_126 FILTER_LEN10_126	1.0e-018	   7.0e-022	         -48.72	         0.0	      198	       3992	        3207	      53873	  0.04960	3.5e-025	      1995
   1	FILTER_LEN10_127 FILTER_LEN10_127	1.2e-273	   8.1e-277	        -635.72	         0.0	      122	       3992	        3261	      53873	  0.03056	4.1e-280	      1995
   1	FILTER_LEN10_130 FILTER_LEN10_130	4.2e-324	   2.8e-327	        -751.91	         0.0	       70	       3992	        2307	      52382	  0.01754	1.4e-330	      1995
   1	FILTER_LEN10_131 FILTER_LEN10_131	1.1e-118	   7.5e-122	        -278.90	         0.0	       46	       3992	        1296	      53872	  0.01152	3.7e-125	      1995
   1	FILTER_LEN10_133 FILTER_LEN10_133	4.8e-065	   3.2e-068	        -155.41	         0.0	       78	       3992	        1674	      53840	  0.01954	1.6e-071	      1995
   1	FILTER_LEN10_135 FILTER_LEN10_135	7.2e-046	   4.8e-049	        -111.26	         0.0	      108	       3992	        2062	      53795	  0.02705	2.4e-052	      1995
   1	FILTER_LEN10_137 FILTER_LEN10_137	2.4e-103	   1.6e-106	        -243.59	         0.0	       58	       3992	        1474	      53785	  0.01453	8.1e-110	      1995
   1	FILTER_LEN10_138 FILTER_LEN10_138	3.0e-012	   2.0e-015	         -33.86	         0.0	      394	       3992	        5934	      53872	  0.09870	9.9e-019	      1995
   1	FILTER_LEN10_141 FILTER_LEN10_141	1.0e-280	   6.7e-284	        -652.04	         0.0	       92	       3992	        2689	      53712	  0.02305	3.3e-287	      1995
   1	FILTER_LEN10_142 FILTER_LEN10_142	3.3e-222	   2.2e-225	        -517.28	         0.0	       66	       3992	        1986	      53305	  0.01653	1.1e-228	      1995
   1	FILTER_LEN10_144 FILTER_LEN10_144	4.0e-041	   2.7e-044	        -100.33	         0.0	       36	       3992	         836	      53872	  0.00902	1.3e-047	      1995
   1	FILTER_LEN10_148 FILTER_LEN10_148	5.7e-090	   3.8e-093	        -212.80	         0.0	       54	       3992	        1352	      53816	  0.01353	1.9e-096	      1995
   1	FILTER_LEN10_149 FILTER_LEN10_149	3.3e-104	   2.2e-107	        -245.58	         0.0	      174	       3992	        3477	      53842	  0.04359	1.1e-110	      1995
   1	FILTER_LEN10_150 FILTER_LEN10_150	1.9e-258	   1.3e-261	        -600.71	         0.0	      150	       3992	        3711	      53456	  0.03758	6.5e-265	      1995
   1	FILTER_LEN10_151 FILTER_LEN10_151	2.0e-018	   1.3e-021	         -48.09	         0.0	      280	       3992	        4401	      53872	  0.07014	6.5e-025	      1995
   1	FILTER_LEN10_153 FILTER_LEN10_153	1.9e-104	   1.3e-107	        -246.12	         0.0	       66	       3992	        1627	      53794	  0.01653	6.5e-111	      1995
   1	FILTER_LEN10_154 FILTER_LEN10_154	5.1e-351	   3.4e-354	        -813.89	         0.0	       86	       3992	        2745	      53412	  0.02154	1.7e-357	      1995
   1	FILTER_LEN10_158 FILTER_LEN10_158	2.5e-253	   1.7e-256	        -588.95	         0.0	       60	       3992	        1957	      53862	  0.01503	8.3e-260	      1995
   1	FILTER_LEN10_162 FILTER_LEN10_162	9.3e-291	   6.2e-294	        -675.14	         0.0	       62	       3992	        2094	      53867	  0.01553	3.1e-297	      1995
   1	FILTER_LEN10_163 FILTER_LEN10_163	1.6e-020	   1.0e-023	         -52.92	         0.0	       36	       3992	         737	      53657	  0.00902	5.2e-027	      1995
   1	FILTER_LEN10_166 FILTER_LEN10_166	3.4e-020	   2.3e-023	         -52.13	         0.0	      440	       3992	        6725	      53873	  0.11022	1.1e-026	      1995
   1	FILTER_LEN10_168 FILTER_LEN10_168	1.6e-096	   1.0e-099	        -227.91	         0.0	      280	       3992	        5118	      53873	  0.07014	5.3e-103	      1995
   1	FILTER_LEN10_169 FILTER_LEN10_169	9.3e-045	   6.2e-048	        -108.70	         0.0	      170	       3992	        3031	      53865	  0.04259	3.1e-051	      1995
   1	FILTER_LEN10_171 FILTER_LEN10_171	4.7e-011	   3.2e-014	         -31.09	         0.0	      160	       3992	        2555	      53872	  0.04008	1.6e-017	      1995
   1	FILTER_LEN10_172 FILTER_LEN10_172	1.6e-201	   1.0e-204	        -469.69	         0.0	       44	       3992	        1477	      53711	  0.01102	5.2e-208	      1995
   1	FILTER_LEN10_173 FILTER_LEN10_173	2.9e-035	   1.9e-038	         -86.85	         0.0	       44	       3992	         949	      53865	  0.01102	9.6e-042	      1995
   1	FILTER_LEN10_175 FILTER_LEN10_175	5.1e-058	   3.4e-061	        -139.22	         0.0	      130	       3992	        2490	      53755	  0.03257	1.7e-064	      1995
   1	FILTER_LEN10_176 FILTER_LEN10_176	1.0e-012	   6.9e-016	         -34.91	         0.0	      578	       3992	        8531	      53851	  0.14479	3.5e-019	      1995
   1	FILTER_LEN10_178 FILTER_LEN10_178	1.9e-007	   1.3e-010	         -22.80	         0.0	      344	       3992	        5130	      53841	  0.08617	6.3e-014	      1995
   1	FILTER_LEN10_181 FILTER_LEN10_181	1.2e-101	   7.9e-105	        -239.70	         0.0	       64	       3992	        1581	      53871	  0.01603	4.0e-108	      1995
   1	FILTER_LEN10_186 FILTER_LEN10_186	4.3e-302	   2.9e-305	        -701.24	         0.0	       70	       3992	        2295	      53869	  0.01754	1.4e-308	      1995
   1	FILTER_LEN10_189 FILTER_LEN10_189	1.7e-023	   1.1e-026	         -59.76	         0.0	       82	       3992	        1499	      53867	  0.02054	5.6e-030	      1995
   1	FILTER_LEN10_190 FILTER_LEN10_190	1.1e-027	   7.2e-031	         -69.40	         0.0	      294	       3992	        4723	      53856	  0.07365	3.6e-034	      1995
   1	FILTER_LEN10_192 FILTER_LEN10_192	1.0e-006	   6.7e-010	         -21.13	         0.0	        6	       3992	         154	      53873	  0.00150	3.3e-013	      1995
   1	FILTER_LEN10_193 FILTER_LEN10_193	1.4e-056	   9.4e-060	        -135.91	         0.0	      302	       3992	        5139	      53854	  0.07565	4.7e-063	      1995
   1	FILTER_LEN10_198 FILTER_LEN10_198	1.0e-936	   6.8e-940	       -2162.51	         0.0	       74	       3992	        3651	      53544	  0.01854	3.4e-943	      1995
   1	FILTER_LEN10_200 FILTER_LEN10_200	4.1e-021	   2.7e-024	         -54.26	         0.0	      204	       3992	        3321	      53835	  0.05110	1.4e-027	      1995
   1	FILTER_LEN10_202 FILTER_LEN10_202	8.8e-486	   5.8e-489	       -1124.20	         0.0	      102	       3992	        3427	      53601	  0.02555	2.9e-492	      1995
   1	FILTER_LEN10_205 FILTER_LEN10_205	4.7e-306	   3.1e-309	        -710.36	         0.0	      148	       3992	        3848	      53656	  0.03707	1.6e-312	      1995
   1	FILTER_LEN10_208 FILTER_LEN10_208	9.2e-185	   6.1e-188	        -431.07	         0.0	      190	       3992	        4105	      53212	  0.04760	3.1e-191	      1995
   1	FILTER_LEN10_209 FILTER_LEN10_209	2.3e-226	   1.5e-229	        -526.88	         0.0	      104	       3992	        2759	      53741	  0.02605	7.5e-233	      1995
   1	FILTER_LEN10_210 FILTER_LEN10_210	9.1e-412	   6.1e-415	        -953.77	         0.0	      106	       3992	        3282	      52504	  0.02655	3.0e-418	      1995
   1	FILTER_LEN10_213 FILTER_LEN10_213	1.4e-303	   9.6e-307	        -704.63	         0.0	      108	       3992	        3071	      53636	  0.02705	4.8e-310	      1995
   1	FILTER_LEN10_217 FILTER_LEN10_217	9.4e-233	   6.2e-236	        -541.58	         0.0	       82	       3992	        2322	      52793	  0.02054	3.1e-239	      1995
   1	FILTER_LEN10_219 FILTER_LEN10_219	1.3e-047	   8.4e-051	        -115.30	         0.0	        8	       3992	         305	      53873	  0.00200	4.2e-054	      1995
   1	FILTER_LEN10_220 FILTER_LEN10_220	3.8e-148	   2.5e-151	        -346.77	         0.0	      188	       3992	        3936	      53813	  0.04709	1.3e-154	      1995
   1	FILTER_LEN10_221 FILTER_LEN10_221	2.5e-080	   1.7e-083	        -190.59	         0.0	       72	       3992	        1639	      53836	  0.01804	8.4e-087	      1995
   1	FILTER_LEN10_223 FILTER_LEN10_223	7.9e-027	   5.3e-030	         -67.41	         0.0	       46	       3992	         938	      53746	  0.01152	2.7e-033	      1995
   1	FILTER_LEN10_225 FILTER_LEN10_225	2.4e-815	   1.6e-818	       -1883.05	         0.0	       84	       3992	        3691	      53401	  0.02104	8.0e-822	      1995
   1	FILTER_LEN10_227 FILTER_LEN10_227	2.2e-125	   1.5e-128	        -294.33	         0.0	       98	       3992	        2288	      53835	  0.02455	7.5e-132	      1995
   1	FILTER_LEN10_228 FILTER_LEN10_228	5.2e-047	   3.4e-050	        -113.89	         0.0	      358	       3992	        5840	      53457	  0.08968	1.7e-053	      1995
   1	FILTER_LEN10_229 FILTER_LEN10_229	7.0e-290	   4.6e-293	        -673.12	         0.0	       66	       3992	        2149	      52768	  0.01653	2.3e-296	      1995
   1	FILTER_LEN10_230 FILTER_LEN10_230	4.4e-037	   3.0e-040	         -91.02	         0.0	      340	       3992	        5502	      53806	  0.08517	1.5e-043	      1995
   1	FILTER_LEN10_232 FILTER_LEN10_232	3.3e-123	   2.2e-126	        -289.34	         0.0	      114	       3992	        2561	      53842	  0.02856	1.1e-129	      1995
   1	FILTER_LEN10_236 FILTER_LEN10_236	4.0e-040	   2.7e-043	         -98.03	         0.0	      538	       3992	        8417	      53872	  0.13477	1.3e-046	      1995
   1	FILTER_LEN10_238 FILTER_LEN10_238	2.4e-014	   1.6e-017	         -38.66	         0.0	      558	       3992	        8288	      53873	  0.13978	8.1e-021	      1995
   1	FILTER_LEN10_239 FILTER_LEN10_239	1.3e-025	   8.6e-029	         -64.63	         0.0	      460	       3992	        7030	      53345	  0.11523	4.3e-032	      1995
   1	FILTER_LEN10_240 FILTER_LEN10_240	1.5e-006	   1.0e-009	         -20.72	         0.0	      270	       3992	        4063	      53826	  0.06764	5.0e-013	      1995
   1	FILTER_LEN10_241 FILTER_LEN10_241	1.7e-1598	   1.1e-1601	       -3686.31	         0.0	       78	       3992	        4807	      53798	  0.01954	5.7e-1605	      1995
   1	FILTER_LEN10_244 FILTER_LEN10_244	1.3e-051	   8.4e-055	        -124.52	         0.0	      178	       3992	        3208	      53869	  0.04459	4.2e-058	      1995
   1	FILTER_LEN10_249 FILTER_LEN10_249	2.4e-038	   1.6e-041	         -93.93	         0.0	      288	       3992	        4755	      53872	  0.07214	8.0e-045	      1995
   1	FILTER_LEN10_251 FILTER_LEN10_251	2.2e-032	   1.5e-035	         -80.19	         0.0	      126	       3992	        2250	      53782	  0.03156	7.5e-039	      1995
   1	FILTER_LEN10_252 FILTER_LEN10_252	1.3e-041	   8.8e-045	        -101.45	         0.0	       42	       3992	         944	      53872	  0.01052	4.4e-048	      1995
   1	FILTER_LEN10_254 FILTER_LEN10_254	2.0e-390	   1.4e-393	        -904.61	         0.0	       72	       3992	        2551	      53849	  0.01804	6.8e-397	      1995
   1	FILTER_LEN10_258 FILTER_LEN10_258	6.3e-107	   4.2e-110	        -251.85	         0.0	      194	       3992	        3820	      53869	  0.04860	2.1e-113	      1995
   1	FILTER_LEN10_259 FILTER_LEN10_259	3.1e-484	   2.1e-487	       -1120.63	         0.0	      102	       3992	        3434	      53853	  0.02555	1.0e-490	      1995
   1	FILTER_LEN10_260 FILTER_LEN10_260	2.3e-367	   1.6e-370	        -851.51	         0.0	       92	       3992	        2874	      52332	  0.02305	7.8e-374	      1995
   1	FILTER_LEN10_261 FILTER_LEN10_261	7.2e-022	   4.8e-025	         -56.00	         0.0	       76	       3992	        1393	      53861	  0.01904	2.4e-028	      1995
   1	FILTER_LEN10_263 FILTER_LEN10_263	3.5e-018	   2.3e-021	         -47.51	         0.0	      338	       3992	        5228	      53813	  0.08467	1.2e-024	      1995
   1	FILTER_LEN10_264 FILTER_LEN10_264	1.2e-011	   8.2e-015	         -32.43	         0.0	        4	       3992	         126	      51831	  0.00100	4.1e-018	      1995
   1	FILTER_LEN10_265 FILTER_LEN10_265	4.2e-155	   2.8e-158	        -362.78	         0.0	      128	       3992	        2932	      53627	  0.03206	1.4e-161	      1995
   1	FILTER_LEN10_268 FILTER_LEN10_268	1.4e-085	   9.2e-089	        -202.71	         0.0	       70	       3992	        1625	      53792	  0.01754	4.6e-092	      1995
   1	FILTER_LEN10_269 FILTER_LEN10_269	3.3e-010	   2.2e-013	         -29.13	         0.0	     2274	       3992	       31628	      53869	  0.56964	1.1e-016	      1995
   1	FILTER_LEN10_270 FILTER_LEN10_270	1.1e-027	   7.3e-031	         -69.39	         0.0	      442	       3992	        6867	      53870	  0.11072	3.7e-034	      1995
   1	FILTER_LEN10_271 FILTER_LEN10_271	8.3e-022	   5.5e-025	         -55.86	         0.0	       34	       3992	         712	      53873	  0.00852	2.8e-028	      1995
